geomid,naics,workers
872830099ffffff,Hospitality,1.241
872830099ffffff,Manufacturing,0.214
872830099ffffff,Professional Service,0.077
872830099ffffff,Public Administration,0.852
872830099ffffff,Real Estate,0.191
872830099ffffff,Retail,1.338
872830099ffffff,Transportation,0.133
872830099ffffff,Wholesale,0.191
87283009affffff,Art/Culture,1.316
87283009affffff,Business Support,0.248
87283009affffff,Construction,0.621
87283009affffff,Education,0.896
87283009affffff,Financial,0.496
87283009affffff,Health,4.132
87283009affffff,Hospitality,3.901
87283009affffff,Professional Service,0.047
87283009affffff,Public Administration,1.845
87283009affffff,Real Estate,0.248
87283009affffff,Retail,4.294
87283009affffff,Transportation,1.144
87283009affffff,Wholesale,0.721
87283009bffffff,Art/Culture,0.504
87283009bffffff,Business Support,0.168
87283009bffffff,Construction,0.168
87283009bffffff,Education,1.604
87283009bffffff,Financial,0.336
87283009bffffff,Health,2.481
87283009bffffff,Hospitality,1.557
87283009bffffff,Public Administration,0.671
87283009bffffff,Real Estate,0.168
87283009bffffff,Retail,1.007
87283009bffffff,Wholesale,0.168
87283009effffff,Construction,0.188
87283009effffff,Education,0.07
87283009effffff,Health,2.797
87283009effffff,Hospitality,1.185
87283009effffff,Professional Service,0.132
87283009effffff,Public Administration,0.588
87283009effffff,Retail,2.352
87283009effffff,Transportation,0.588
8728300a5ffffff,Art/Culture,0.837
8728300a5ffffff,Business Support,1.764
8728300a5ffffff,Construction,2.191
8728300a5ffffff,Education,3.28
8728300a5ffffff,Energy,0.88
8728300a5ffffff,Financial,3.371
8728300a5ffffff,Health,5.162
8728300a5ffffff,Hospitality,1.728
8728300a5ffffff,Information,0.001
8728300a5ffffff,Manufacturing,3.01
8728300a5ffffff,Professional Service,1.863
8728300a5ffffff,Public Administration,17.789
8728300a5ffffff,Real Estate,0.179
8728300a5ffffff,Retail,11.588
8728300a5ffffff,Transportation,3.637
8728300a5ffffff,Wholesale,1.525
8728300a9ffffff,Art/Culture,0.086
8728300a9ffffff,Business Support,0.884
8728300a9ffffff,Construction,4.137
8728300a9ffffff,Education,0.115
8728300a9ffffff,Energy,0.027
8728300a9ffffff,Financial,0.882
8728300a9ffffff,Health,1.194
8728300a9ffffff,Hospitality,2.878
8728300a9ffffff,Information,0.027
8728300a9ffffff,Manufacturing,0.093
8728300a9ffffff,Professional Service,0.857
8728300a9ffffff,Public Administration,0.114
8728300a9ffffff,Real Estate,0.029
8728300a9ffffff,Retail,0.199
8728300a9ffffff,Transportation,0.884
8728300a9ffffff,Wholesale,0.029
8728300aeffffff,Art/Culture,2.463
8728300aeffffff,Business Support,2.122
8728300aeffffff,Construction,1.643
8728300aeffffff,Education,2.912
8728300aeffffff,Energy,0.13
8728300aeffffff,Financial,1.307
8728300aeffffff,Health,2.969
8728300aeffffff,Hospitality,8.832
8728300aeffffff,Information,0.654
8728300aeffffff,Manufacturing,3.057
8728300aeffffff,Professional Service,1.097
8728300aeffffff,Public Administration,0.778
8728300aeffffff,Real Estate,0.886
8728300aeffffff,Retail,3.732
8728300aeffffff,Transportation,2.908
8728300aeffffff,Wholesale,0.919
8728300b1ffffff,Education,1.278
8728300b1ffffff,Health,1.274
8728300b1ffffff,Hospitality,0.031
8728300b1ffffff,Information,0.001
8728300b2ffffff,Art/Culture,0.084
8728300b2ffffff,Construction,0.656
8728300b2ffffff,Education,0.046
8728300b2ffffff,Health,0.295
8728300b2ffffff,Hospitality,0.13
8728300b2ffffff,Information,0.084
8728300b2ffffff,Manufacturing,0.018
8728300b2ffffff,Public Administration,0.084
8728300b2ffffff,Retail,0.257
8728300b2ffffff,Transportation,0.042
8728300b3ffffff,Construction,0.164
8728300b3ffffff,Education,0.146
8728300b3ffffff,Health,0.24
8728300b3ffffff,Hospitality,0.563
8728300b3ffffff,Manufacturing,0.129
8728300b3ffffff,Retail,0.026
8728300cdffffff,Art/Culture,0.937
8728300cdffffff,Construction,3.222
8728300cdffffff,Education,0.751
8728300cdffffff,Health,1.425
8728300cdffffff,Hospitality,5.785
8728300cdffffff,Manufacturing,6.624
8728300cdffffff,Professional Service,0.154
8728300cdffffff,Public Administration,0.034
8728300cdffffff,Retail,0.371
8728300e9ffffff,Art/Culture,0.716
8728300e9ffffff,Construction,0.0
8728300e9ffffff,Education,6.713
8728300e9ffffff,Health,9.18
8728300e9ffffff,Hospitality,2.497
8728300e9ffffff,Manufacturing,0.0
8728300e9ffffff,Professional Service,1.412
8728300e9ffffff,Public Administration,0.716
8728300e9ffffff,Retail,1.422
8728300e9ffffff,Transportation,1.075
8728300ecffffff,Art/Culture,1.52
8728300ecffffff,Business Support,0.754
8728300ecffffff,Construction,2.502
8728300ecffffff,Education,1.74
8728300ecffffff,Energy,0.001
8728300ecffffff,Financial,6.773
8728300ecffffff,Health,1.746
8728300ecffffff,Hospitality,11.13
8728300ecffffff,Information,0.001
8728300ecffffff,Manufacturing,3.756
8728300ecffffff,Professional Service,4.519
8728300ecffffff,Public Administration,2.277
8728300ecffffff,Real Estate,1.511
8728300ecffffff,Retail,7.042
8728300ecffffff,Transportation,3.769
8728300ecffffff,Wholesale,0.763
8728300edffffff,Art/Culture,1.965
8728300edffffff,Business Support,0.637
8728300edffffff,Construction,4.708
8728300edffffff,Education,6.995
8728300edffffff,Financial,1.276
8728300edffffff,Health,9.658
8728300edffffff,Hospitality,6.408
8728300edffffff,Manufacturing,0.002
8728300edffffff,Professional Service,2.379
8728300edffffff,Public Administration,0.859
8728300edffffff,Real Estate,0.637
8728300edffffff,Retail,5.0
8728300edffffff,Transportation,1.676
8728300edffffff,Wholesale,0.0
8728300eeffffff,Art/Culture,0.065
8728300eeffffff,Business Support,0.082
8728300eeffffff,Construction,0.968
8728300eeffffff,Education,0.301
8728300eeffffff,Energy,0.049
8728300eeffffff,Financial,0.317
8728300eeffffff,Health,3.665
8728300eeffffff,Hospitality,0.491
8728300eeffffff,Information,0.049
8728300eeffffff,Manufacturing,0.005
8728300eeffffff,Professional Service,0.051
8728300eeffffff,Public Administration,0.051
8728300eeffffff,Retail,1.066
8728300eeffffff,Transportation,0.049
872830101ffffff,Art/Culture,0.132
872830101ffffff,Construction,0.424
872830101ffffff,Energy,0.026
872830101ffffff,Manufacturing,0.106
872830101ffffff,Retail,0.053
872830101ffffff,Transportation,0.291
872830102ffffff,Art/Culture,5.773
872830102ffffff,Business Support,7.912
872830102ffffff,Construction,7.168
872830102ffffff,Education,25.206
872830102ffffff,Energy,2.479
872830102ffffff,Financial,4.966
872830102ffffff,Health,62.381
872830102ffffff,Hospitality,21.905
872830102ffffff,Information,1.603
872830102ffffff,Manufacturing,17.979
872830102ffffff,Professional Service,5.572
872830102ffffff,Public Administration,12.34
872830102ffffff,Real Estate,3.217
872830102ffffff,Retail,13.494
872830102ffffff,Transportation,20.001
872830102ffffff,Wholesale,7.174
872830105ffffff,Art/Culture,2.99
872830105ffffff,Construction,9.569
872830105ffffff,Energy,0.598
872830105ffffff,Manufacturing,2.392
872830105ffffff,Retail,1.196
872830105ffffff,Transportation,6.578
87283010affffff,Art/Culture,18.713
87283010affffff,Business Support,16.696
87283010affffff,Construction,53.19
87283010affffff,Education,40.974
87283010affffff,Energy,1.939
87283010affffff,Financial,5.699
87283010affffff,Health,117.269
87283010affffff,Hospitality,98.94
87283010affffff,Information,4.813
87283010affffff,Manufacturing,9.841
87283010affffff,Professional Service,7.447
87283010affffff,Public Administration,68.46
87283010affffff,Real Estate,5.992
87283010affffff,Retail,28.788
87283010affffff,Transportation,18.644
87283010affffff,Wholesale,4.298
87283010bffffff,Art/Culture,5.04
87283010bffffff,Business Support,15.509
87283010bffffff,Construction,316.388
87283010bffffff,Education,22.101
87283010bffffff,Energy,12.407
87283010bffffff,Financial,1.939
87283010bffffff,Health,51.18
87283010bffffff,Hospitality,22.101
87283010bffffff,Information,0.775
87283010bffffff,Manufacturing,37.998
87283010bffffff,Professional Service,3.49
87283010bffffff,Public Administration,16.285
87283010bffffff,Real Estate,7.755
87283010bffffff,Retail,58.159
87283010bffffff,Transportation,53.119
87283010bffffff,Wholesale,20.55
87283010effffff,Art/Culture,8.063
87283010effffff,Business Support,12.738
87283010effffff,Construction,12.578
87283010effffff,Corporate,0.007
87283010effffff,Education,15.607
87283010effffff,Energy,4.647
87283010effffff,Financial,3.601
87283010effffff,Health,38.784
87283010effffff,Hospitality,70.063
87283010effffff,Information,1.597
87283010effffff,Manufacturing,29.821
87283010effffff,Professional Service,4.587
87283010effffff,Public Administration,23.648
87283010effffff,Real Estate,2.343
87283010effffff,Retail,74.884
87283010effffff,Transportation,38.657
87283010effffff,Wholesale,15.307
872830119ffffff,Art/Culture,11.441
872830119ffffff,Business Support,7.024
872830119ffffff,Construction,33.483
872830119ffffff,Corporate,0.996
872830119ffffff,Education,12.492
872830119ffffff,Energy,1.759
872830119ffffff,Financial,3.226
872830119ffffff,Health,35.781
872830119ffffff,Hospitality,11.045
872830119ffffff,Information,3.19
872830119ffffff,Manufacturing,24.211
872830119ffffff,Professional Service,5.708
872830119ffffff,Public Administration,26.383
872830119ffffff,Real Estate,2.993
872830119ffffff,Retail,20.772
872830119ffffff,Transportation,43.294
872830119ffffff,Wholesale,1.412
87283011bffffff,Art/Culture,16.341
87283011bffffff,Business Support,11.947
87283011bffffff,Construction,53.732
87283011bffffff,Corporate,0.004
87283011bffffff,Education,25.846
87283011bffffff,Energy,4.246
87283011bffffff,Financial,3.487
87283011bffffff,Health,68.773
87283011bffffff,Hospitality,62.751
87283011bffffff,Information,3.09
87283011bffffff,Manufacturing,7.355
87283011bffffff,Professional Service,7.533
87283011bffffff,Public Administration,13.638
87283011bffffff,Real Estate,16.039
87283011bffffff,Retail,37.562
87283011bffffff,Transportation,64.032
87283011bffffff,Wholesale,15.061
87283011cffffff,Art/Culture,10.964
87283011cffffff,Business Support,22.85
87283011cffffff,Construction,31.018
87283011cffffff,Education,73.109
87283011cffffff,Energy,6.524
87283011cffffff,Financial,3.45
87283011cffffff,Health,147.435
87283011cffffff,Hospitality,27.317
87283011cffffff,Information,9.523
87283011cffffff,Manufacturing,37.463
87283011cffffff,Professional Service,6.493
87283011cffffff,Public Administration,13.43
87283011cffffff,Real Estate,12.131
87283011cffffff,Retail,7.327
87283011cffffff,Transportation,33.69
87283011cffffff,Wholesale,16.903
87283011effffff,Art/Culture,27.204
87283011effffff,Business Support,28.969
87283011effffff,Construction,118.513
87283011effffff,Education,15.259
87283011effffff,Energy,10.825
87283011effffff,Financial,14.03
87283011effffff,Health,41.589
87283011effffff,Hospitality,30.402
87283011effffff,Information,5.421
87283011effffff,Manufacturing,63.95
87283011effffff,Professional Service,19.917
87283011effffff,Public Administration,65.257
87283011effffff,Real Estate,14.014
87283011effffff,Retail,33.126
87283011effffff,Transportation,30.647
87283011effffff,Wholesale,15.377
872830128ffffff,Art/Culture,5.852
872830128ffffff,Business Support,8.818
872830128ffffff,Construction,2.91
872830128ffffff,Corporate,0.009
872830128ffffff,Education,9.366
872830128ffffff,Energy,1.784
872830128ffffff,Financial,1.684
872830128ffffff,Health,24.58
872830128ffffff,Hospitality,3.143
872830128ffffff,Information,0.046
872830128ffffff,Manufacturing,3.379
872830128ffffff,Professional Service,1.433
872830128ffffff,Public Administration,4.865
872830128ffffff,Real Estate,2.076
872830128ffffff,Retail,19.146
872830128ffffff,Transportation,25.926
872830128ffffff,Wholesale,4.881
87283012bffffff,Art/Culture,0.182
87283012bffffff,Business Support,0.637
87283012bffffff,Construction,4.895
87283012bffffff,Corporate,0.032
